"id","first_name","middle_name","lastname","coauthor_lastnames","topics","cities","countries","orcid"
360,"marie","noelle","horcajada","[""bennetau pelissero"",""davicco"",""lebecque"",""coxam"",""mathey"",""puel"",""kati coulibaly"",""chanteranne"",""agalias"",""skaltsounis"",""obled"",""mardon"",""fokialakis"",""lamothe"",""mitakou"",""rock"",""demigne"",""walrand"",""zangarelli"",""boirie"",""offord"",""chee"",""trzeciakiewicz"",""habauzit"",""gil izquierdo"",""morand"",""mazur"",""moco"",""karagounis"",""martin"",""collino"",""kussmann"",""franceschi"",""mccabe"",""jackson"",""offord cavin"",""peacock"",""weaver""]","[""Female"",""Rats"",""Femur"",""Treatment Outcome"",""Oligosaccharides"",""Isoflavones"",""Ovariectomy"",""Animals"",""Bone Development"",""Food, Formulated"",""Soy Foods"",""Bone and Bones"",""Rats, Wistar"",""Bone Density"",""Disease Models, Animal"",""Dose-Response Relationship, Drug"",""Bone Resorption"",""Humans"",""Drug Synergism"",""Osteoporosis, Postmenopausal"",""Osteocalcin"",""Plant Extracts"",""Absorptiometry, Photon"",""Abelmoschus"",""Phytotherapy"",""Uterus"",""Organ Size"",""Body Weight"",""Anti-Infective Agents"",""Biomarkers"",""Bone Density Conservation Agents"",""Olive Oil"",""Osteoporosis"",""Random Allocation"",""Plant Oils"",""Fibrinogen"",""Spleen"",""Inflammation"",""Pyrans"",""Iridoids"",""Equol"",""Genistein"",""Soybeans"",""Phytoestrogens"",""Fruit"",""Olea"",""Antioxidants"",""Talc"",""Oxidative Stress"",""Phenylethyl Alcohol"",""Vitamin E"",""Calcium"",""Dietary Supplements"",""Caseins"",""Leptin"",""Caloric Restriction"",""Milk Proteins"",""Male"",""Models, Animal"",""Amino Acids"",""Insulin-Like Growth Factor I"",""Whey Proteins"",""Hesperidin"",""Hypolipidemic Agents"",""Age Factors"",""Triglycerides"",""Bone Remodeling"",""Cholesterol"",""Bone Diseases, Metabolic"",""Body Composition"",""Biomechanical Phenomena"",""Polyphenols"",""Phenols"",""Flavonoids"",""Metabolomics"",""Muscle, Skeletal"",""Immune System"",""Aged"",""Aged, 80 and over"",""Phenotype"",""Risk Factors"",""Nutritional Sciences"",""Frail Elderly"",""Longevity"",""Aging"",""Postmenopause"",""Cross-Over Studies"",""Calcium Radioisotopes"",""Double-Blind Method"",""Calcium, Dietary"",""Placebos"",""Middle Aged""]","[{""identifier"":2659994,""name"":""Lausanne""},{""identifier"":4928096,""name"":""West Lafayette""}]","[{""identifier"":3017382,""name"":""France""},{""identifier"":2658434,""name"":""Switzerland""},{""identifier"":6252001,""name"":""United States""}]",180379
361,"mara",NA,"chan","[""stewart"",""greenspan"",""gundberg"",""tedesco"",""garcia ocana"",""robbins"",""bauer"",""lacroix"",""wu"",""danielson"",""lee"",""jackson"",""cauley"",""leboff"",""stanczyk"",""sarto"",""wactawski wende"",""cummings"",""ockene"",""hollis"",""bisello"",""prebehala"",""sereika"",""garcia ocaña"",""evans"",""gordon"",""petit"",""ensrud"",""zmuda"",""barbour"",""boudreau"",""strotmeyer"",""harris"",""kanaya"",""shikany"",""manson"",""augustine""]","[""Osteoporosis, Postmenopausal"",""Humans"",""Alendronate"",""Teriparatide"",""Clinical Trials as Topic"",""Female"",""Parathyroid Hormone"",""Bone Density"",""Adult"",""Drug Therapy, Combination"",""Calcium"",""Biomarkers"",""Hip Joint"",""Pilot Projects"",""Prospective Studies"",""Femur Neck"",""Lumbar Vertebrae"",""Patient Compliance"",""Middle Aged"",""Parathyroid Hormone-Related Protein"",""Double-Blind Method"",""Peptide Hormones"",""Vitamin D"",""Physical Fitness"",""Gonadal Steroid Hormones"",""Odds Ratio"",""Hip Fractures"",""Smoking"",""Accidental Falls"",""Body Mass Index"",""Adrenal Cortex Hormones"",""Risk Factors"",""Health Status"",""Frail Elderly"",""Case-Control Studies"",""Aged"",""Bone Resorption"",""Osteocalcin"",""Dose-Response Relationship, Drug"",""Maximum Tolerated Dose"",""Osteogenesis"",""Single-Blind Method"",""Hypercalcemia"",""Male"",""Radius Fractures"",""Tibia"",""Tibial Fractures"",""Life Style"",""Androgens"",""Hypertension"",""Diabetes Complications"",""Radius"",""Caffeine"",""Aged, 80 and over"",""Tomography, X-Ray Computed"",""Bone and Bones"",""Osteoporosis"",""Leptin"",""Sex Characteristics"",""Adiponectin"",""Fractures, Bone"",""Proportional Hazards Models"",""Spinal Fractures"",""Cohort Studies"",""Population Groups"",""Disease Models, Animal"",""Treatment Outcome"",""Anabolic Agents"",""Animals""]","[{""identifier"":5206379,""name"":""Pittsburgh""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
362,"melbourne","f","hovell","[""song"",""kang"",""nichols"",""hofstetter"",""ojeda"",""irvin""]","[""Life Style"",""Drinking Behavior"",""Animals"",""Adolescent"",""Young Adult"",""Child"",""Acculturation"",""Humans"",""Korea"",""Adult"",""Health Behavior"",""Milk"",""California"",""Osteoporosis"",""Prevalence"",""Asian Americans"",""Female""]","[{""identifier"":5391811,""name"":""San Diego""}]","[{""identifier"":6252001,""name"":""United States""}]",768373
363,"p",NA,"hoza","[""visna"",""mechl"",""kubes"",""pilný""]","[""Radius Fractures"",""Male"",""Scaphoid Bone"",""Joint Instability"",""Middle Aged"",""Adolescent"",""Ligaments, Articular"",""Humans"",""Adult"",""Lunate Bone"",""Wrist Joint"",""Female""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
364,"robert",NA,"hsu","[""huang"",""cheng"",""li""]","[""Aged, 80 and over"",""Humans"",""Feasibility Studies"",""Treatment Outcome"",""Vertebroplasty"",""Middle Aged"",""Retrospective Studies"",""Aged"",""Fluoroscopy"",""Surveys and Questionnaires"",""Osteoporosis"",""Patient Satisfaction"",""Male"",""Female"",""Spinal Fractures"",""Minimally Invasive Surgical Procedures""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
365,"lin",NA,"hsu","[""li"",""tian"",""liu""]","[""Anesthesia"",""Surgical Procedures, Operative"",""Aged"",""Postoperative Complications"",""Middle Aged"",""Lumbar Vertebrae"",""Aged, 80 and over"",""Retrospective Studies"",""Humans"",""Male"",""Osteoporosis"",""Female""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
366,"haixiang",NA,"hu","[""ali"",""kim"",""taddei"",""laz"",""rullkoetter"",""schileo"",""cristofolini""]","[""Hip Fractures"",""Finite Element Analysis"",""Femoral Fractures"",""Aged"",""Models, Anatomic"",""Aging"",""Femur"",""Male"",""Female"",""Tomography, X-Ray Computed"",""Aged, 80 and over"",""Fracture Fixation"",""Humans""]","[{""identifier"":5419384,""name"":""Denver""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
367,"c",NA,"hu","[""wu"",""li"",""shi"",""dai"",""tan""]","[""Male"",""Humerus"",""Humans"",""Casts, Surgical"",""Female"",""Child, Preschool"",""Adolescent"",""Retrospective Studies"",""Child"",""Infant"",""Minimally Invasive Surgical Procedures"",""Fracture Fixation, Internal"",""Humeral Fractures""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
368,"weng",NA,"huang","[""tsai"",""peng"",""liu"",""chen"",""hsiao"",""wen"",""kao"",""chang""]","[""Vertebroplasty"",""Aged"",""Kyphoplasty"",""Middle Aged"",""Taiwan"",""Spinal Fractures"",""Male"",""Female"",""Logistic Models"",""Treatment Outcome"",""Fractures, Compression"",""Retrospective Studies"",""Humans""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
369,"c","c","huang","[""cheng"",""huang"",""kung"",""hsu"",""lin"",""kang"",""wang""]","[""RANK Ligand"",""Postmenopause"",""Gene Frequency"",""Polymorphism, Single Nucleotide"",""Asian Continental Ancestry Group"",""Middle Aged"",""Haplotypes"",""Bone Density"",""Humans"",""Female"",""Risk Factors"",""Linkage Disequilibrium"",""Osteoporosis, Postmenopausal"",""Taiwan"",""Estrogen Receptor alpha""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
370,"p","j","huckfeldt","[""grabowski"",""escarce"",""sood"",""newhouse""]","[""Reimbursement Mechanisms"",""Home Care Agencies"",""Hip Fractures"",""Models, Economic"",""Health Care Reform"",""Health Care Costs"",""Hospitalization"",""Stroke"",""Arthroplasty, Replacement"",""Aged"",""Humans"",""Medicare"",""Aged, 80 and over"",""United States"",""Outcome and Process Assessment (Health Care)"",""Prospective Payment System""]","[{""identifier"":5393212,""name"":""Santa Monica""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
371,"steinar",NA,"hunskaar","[""ranhoff"",""engeland"",""engesæter"",""bakken"",""ruths""]","[""Antidepressive Agents, Tricyclic"",""Female"",""Male"",""Risk Factors"",""Middle Aged"",""Drug Prescriptions"",""Prospective Studies"",""Aged"",""Serotonin Uptake Inhibitors"",""Humans"",""Aged, 80 and over"",""Antidepressive Agents"",""Registries"",""Hip Fractures"",""Incidence"",""Time Factors"",""Pharmacoepidemiology"",""Norway"",""Risk Assessment"",""Hypnotics and Sedatives"",""Age Factors"",""Anti-Anxiety Agents"",""Accidental Falls"",""Antihypertensive Agents"",""Calcium Channel Blockers"",""Adrenergic beta-Antagonists"",""Hypertension"",""Angiotensin-Converting Enzyme Inhibitors"",""Cohort Studies"",""Diuretics""]","[{""identifier"":3161732,""name"":""Bergen""}]","[{""identifier"":3144096,""name"":""Norway""}]",NA
372,"r",NA,"chang","[""vehmanen"",""nikander"",""kautiainen"",""penttinen"",""jarvenpaa"",""jaaskelainen"",""utriainen"",""ruohola"",""elme"",""vertio"",""palva"",""fogelholm"",""rautalahti"",""blomqvist"",""luoto"",""sievanen"",""kellokumpu lehtinen"",""saarto""]","[""Humans"",""Motor Activity"",""Adult"",""Breast Neoplasms"",""Single-Blind Method"",""Body Composition"",""Aged"",""Patient Compliance"",""Middle Aged"",""Femur Neck"",""Body Weight"",""Female"",""Chemotherapy, Adjuvant"",""Postmenopause"",""Exercise Therapy"",""Lumbar Vertebrae"",""Bone Density"",""Premenopause"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",643742
373,"arti",NA,"hurria","[""vanderwalde"",""ganz"",""warner"",""lyman"",""runowicz"",""henry"",""leach"",""mackey"",""pratt chapman"",""cowens alvarado"",""cannady"",""jacobs"",""edge"",""lamonte"",""marks""]","[""Antineoplastic Agents"",""Prostatic Neoplasms"",""Humans"",""Fractures, Bone"",""Bone Density"",""Breast Neoplasms"",""Osteoporosis"",""Risk Factors"",""Female"",""Male"",""Aging"",""Depression"",""Population Surveillance"",""Health Promotion"",""Lymphedema"",""Cardiovascular Diseases"",""Life Style"",""Primary Health Care"",""Patient Care Planning"",""Fatigue"",""Medication Adherence"",""Anxiety"",""Genetic Counseling"",""Neoplasm Recurrence, Local"",""Neoplasms, Second Primary"",""Cognition Disorders"",""Body Image"",""Survivors"",""Pain Management"",""Hot Flashes"",""Sexual Dysfunction, Physiological""]","[{""identifier"":4140963,""name"":""Washington, D.C.""},{""identifier"":4460162,""name"":""Chapel Hill""},{""identifier"":5206379,""name"":""Pittsburgh""},{""identifier"":6167865,""name"":""Toronto""},{""identifier"":5368361,""name"":""Los Angeles""},{""identifier"":4984247,""name"":""Ann Arbor""},{""identifier"":4180439,""name"":""Atlanta""},{""identifier"":4641239,""name"":""Memphis""},{""identifier"":4164138,""name"":""Miami""},{""identifier"":4560349,""name"":""Philadelphia""},{""identifier"":5344147,""name"":""Duarte""}]","[{""identifier"":6252001,""name"":""United States""},{""identifier"":6251999,""name"":""Canada""}]",614093
374,"j","h","hwang","[""lee"",""park"",""rathod""]","[""Pain Measurement"",""Physical Examination"",""Magnetic Resonance Imaging"",""Triquetrum Bone"",""Triangular Fibrocartilage"",""Humans"",""Adult"",""Fractures, Bone"",""Hand Strength"",""Middle Aged"",""Wrist Injuries"",""Arthroscopy""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
375,"jordi",NA,"iborra","[""freslon"",""hadjadj"",""soyer"",""pries"",""clarac"",""díez perez"",""badia"",""lizan"",""nogues"",""lahoz""]","[""Humans"",""Hypogonadism"",""Bone Density"",""Adult"",""Male"",""Radiography"",""Recurrence"",""Femoral Fractures"",""Running"",""Fractures, Stress"",""Low Back Pain"",""Osteoporosis"",""Pain Measurement"",""Middle Aged"",""Observation"",""Aged"",""Prospective Studies"",""Fractures, Bone"",""Outpatient Clinics, Hospital"",""Surveys and Questionnaires"",""Female"",""Postmenopause"",""Sickness Impact Profile"",""Psychometrics"",""Social Class"",""Quality of Life"",""Spain"",""Primary Health Care""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
376,"norio",NA,"iinuma","[""nishikawa"",""kamisaki"",""iwayama"",""hayakawa"",""suzuki"",""yamaguchi"",""osawa"",""itoh"",""nakamura""]","[""Osteoporosis"",""Vitamin K 2"",""Fractures, Bone"",""Animals"",""Humans"",""Bone Density"",""Bone and Bones"",""Quality of Life"",""Japan"",""Asian Continental Ancestry Group"",""Prospective Studies"",""Osteoarthritis, Hip"",""Aged"",""Risedronate Sodium"",""Bone Density Conservation Agents"",""Comorbidity"",""Aged, 80 and over"",""Myocardial Ischemia"",""Pain"",""Female"",""Etidronic Acid""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",224567
377,"e","a","imel","[""hui"",""weaver"",""de papp"",""liu"",""allen"",""li"",""martin"",""johnston"",""modi"",""eckert""]","[""Middle Aged"",""Retrospective Studies"",""Aged, 80 and over"",""Comorbidity"",""Osteoporosis"",""Bone Density"",""Osteoporotic Fractures"",""Aged"",""Humans"",""Bone Density Conservation Agents"",""Drug Utilization"",""Healthcare Disparities"",""Male"",""Indiana"",""Female"",""Demography"",""Cohort Studies"",""Multivariate Analysis"",""Patient Compliance"",""Treatment Outcome"",""Diphosphonates"",""Risk Factors""]","[{""identifier"":4259418,""name"":""Indianapolis""},{""identifier"":5194868,""name"":""Indiana""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
378,"s",NA,"inoha","[""inamura"",""amano"",""nakamizo"",""ikezaki"",""fukui"",""tokuda"",""yasuda""]","[""Accidental Falls"",""Fluorodeoxyglucose F18"",""Humans"",""Substantia Nigra"",""Mandibular Fractures"",""Thalamus"",""Male"",""Adult"",""Tomography, X-Ray Computed"",""Brain Injuries"",""Tomography, Emission-Computed"",""Magnetic Resonance Imaging""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
379,"karl",NA,"insogna","[""simpson"",""gundberg"",""silver"",""basadonna"",""friedman"",""cruz"",""bia"",""wysolmerski"",""lorber"",""kliger"",""mitnick"",""cayco"",""brickel"",""kinder"",""lang"",""nakchbandi"",""pascarella"",""masiukiewicz"",""grey"",""o'brien"",""kerstetter"",""ovadia"",""yao"",""ding"",""kang"",""xie"",""shi"",""zhong"",""washington"",""hill"",""bollag"",""hamrick"",""chutkan"",""mi"",""isales"",""wright"",""proctor"",""kirk"",""oetgen"",""miki"",""lindskog"",""page"",""bergwitz"",""jaureguiberry"",""harinarayan"",""gaffney stomberg"",""rodriguez"",""kenny"",""mangano"",""walsh"",""wu"",""xiao"",""zhu"",""troiano"",""kolodziejczak"",""horowitz"",""bian"",""kawano"",""hsieh"",""bradley"",""xia"",""cui"",""fraenkel"",""li"",""larocque"",""ensrud"",""lui"",""cauley"",""allore"",""lupsa"",""thompson"",""harris"",""jeon"",""smith"",""knobf""]","[""Prednisone"",""Cross-Sectional Studies"",""Middle Aged"",""Aged"",""Bone Diseases, Metabolic"",""Bone Density"",""Amino Acids"",""Osteoporosis"",""Osteocalcin"",""Humans"",""Kidney Transplantation"",""Adult"",""Bone Resorption"",""Female"",""Male"",""Calcium"",""Parathyroid Hormone"",""Biomarkers"",""Prognosis"",""Bone Remodeling"",""Longitudinal Studies"",""Prospective Studies"",""Creatinine"",""Alendronate"",""Postoperative Complications"",""Time Factors"",""Alkaline Phosphatase"",""Follow-Up Studies"",""Immunosuppression"",""Receptors, Interleukin-6"",""Interleukin-6"",""Calcitriol"",""Hyperparathyroidism"",""Estrogen Replacement Therapy"",""Femur"",""Osteoporosis, Postmenopausal"",""Predictive Value of Tests"",""Collagen"",""Retrospective Studies"",""Reference Values"",""Disease Models, Animal"",""Postmenopause"",""Premenopause"",""Collagen Type I"",""Estrogens"",""Mice"",""Peptides"",""Animals"",""Cytokines"",""Menopause"",""Bone and Bones"",""Diet, Protein-Restricted"",""Intestinal Absorption"",""Homeostasis"",""Calcium, Dietary"",""Dietary Proteins"",""Cell Membrane"",""Fertility"",""Spermatozoa"",""Lung"",""Uterus"",""Pregnancy"",""Protein Isoforms"",""Macrophage Colony-Stimulating Factor"",""Mice, Transgenic"",""Mice, Inbred C57BL"",""Glucose"",""Aging"",""Gastric Inhibitory Polypeptide"",""Fractures, Bone"",""Hip Fractures"",""Proton Pump Inhibitors"",""Orthopedics"",""Primary Health Care"",""Physician's Role"",""Patient Education as Topic"",""Treatment Outcome"",""Algorithms"",""Hypophosphatemia"",""Sodium-Phosphate Cotransporter Proteins, Type IIc"",""Kidney Calculi"",""Mutation"",""Femoral Neck Fractures"",""Fractures, Spontaneous"",""Anti-Ulcer Agents"",""Muscular Diseases"",""Nutrition Policy"",""Nutritional Requirements"",""Metabolism"",""History, 21st Century"",""Muscle, Skeletal"",""Mental Recall"",""Age Distribution"",""Nutrition Surveys"",""Surveys and Questionnaires"",""Dietary Supplements"",""Bone Density Conservation Agents"",""United States"",""Energy Intake"",""Aged, 80 and over"",""Nutritive Value"",""Diet"",""Osteoblasts"",""Cells, Cultured"",""Cell Differentiation"",""Hypertriglyceridemia"",""Sex Characteristics"",""Mice, Knockout"",""Solubility"",""Colony-Stimulating Factors"",""RNA, Messenger"",""Osteoclasts"",""Up-Regulation"",""Coculture Techniques"",""Tomography, X-Ray Computed"",""Cell Proliferation"",""Cytoskeletal Proteins"",""Intracellular Signaling Peptides and Proteins"",""LIM Domain Proteins"",""Real-Time Polymerase Chain Reaction"",""HIV Infections"",""Self Efficacy"",""Health Knowledge, Attitudes, Practice"",""Health Status"",""Cohort Studies"",""Odds Ratio"",""Accidental Falls"",""Recommended Dietary Allowances"",""Vitamin D"",""Osteoporotic Fractures"",""Logistic Models"",""Risk Factors"",""Diet Records"",""Exercise"",""Aromatase Inhibitors"",""Breast Neoplasms"",""Exercise Therapy"",""Survivors"",""Femur Neck""]","[{""identifier"":4839366,""name"":""New Haven""},{""identifier"":5015627,""name"":""Yale""}]","[{""identifier"":6252001,""name"":""United States""}]",58509
380,"t",NA,"liu","[""herrmann"",""ahrens"",""sioen"",""tornaritis"",""moreno"",""pigeot"",""veidebaum"",""mårild"",""molnar"",""lauria""]","[""Fractures, Bone"",""Cohort Studies"",""Biomarkers"",""Peptide Fragments"",""Child"",""Humans"",""Predictive Value of Tests"",""Reference Values"",""Life Style"",""Male"",""Bone Development"",""Collagen Type I"",""Follow-Up Studies"",""Body Weight"",""Peptides"",""European Continental Ancestry Group"",""Child, Preschool"",""Health Surveys"",""Europe"",""Diet"",""Female"",""Osteoporosis""]","[{""identifier"":2944388,""name"":""Bremen""}]","[{""identifier"":2921044,""name"":""Germany""}]",NA
381,"akira",NA,"ishiyama","[""brantberg"",""baloh"",""mccall"",""ishiyama"",""kirsch""]","[""Humans"",""Dizziness"",""Aged"",""Temporal Bone"",""Middle Aged"",""Muscle Contraction"",""Vestibular Nerve"",""Hearing Loss, Sensorineural"",""Motion Sickness"",""Syncope"",""Vestibular Diseases"",""Tinnitus"",""Hyperacusis"",""Reflex"",""Tomography, X-Ray Computed"",""Osteoporosis"",""Female"",""Semicircular Canals"",""Humerus"",""Child"",""Radius"",""Syndrome"",""Skull"",""Ear"",""Synostosis"",""Fractures, Bone"",""Abnormalities, Multiple"",""Nose"",""Craniofacial Abnormalities""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
382,"k",NA,"stewart","[""kobayashi"",""machida"",""kitahara"",""kanbe"",""yoshida""]","[""Prostatic Neoplasms"",""Male"",""Osteoporosis"",""Etidronic Acid"",""Risedronate Sodium"",""Aged, 80 and over"",""Humans"",""Bone Density Conservation Agents"",""Aged"",""Androgen Antagonists"",""Androgens"",""Gonadotropin-Releasing Hormone""]","[{""identifier"":1850147,""name"":""Tokyo""}]","[{""identifier"":1861060,""name"":""Japan""}]",NA
383,"t",NA,"ishizu","[""chikai"",""tokioka"",""takigawa"",""kosogabe"",""fukushima""]","[""Ulna Fractures"",""Female"",""Aged, 80 and over"",""Humans"",""Monitoring, Intraoperative"",""Anesthesia, General"",""Cardiomyopathies"",""Echocardiography"",""Tachycardia"",""Electrocardiography"",""Tibial Fractures"",""Ventricular Dysfunction, Left"",""Aged"",""Intraoperative Complications"",""Postoperative Period""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
384,"eman",NA,"ismail","[""tantawy"",""mokhtar"",""adly""]","[""Egypt"",""Quality of Life"",""Child, Preschool"",""Antisickling Agents"",""Deferoxamine"",""Siderophores"",""Follow-Up Studies"",""Adult"",""Osteoporosis"",""Chelation Therapy"",""Hypertension, Pulmonary"",""Female"",""Adolescent"",""Absorptiometry, Photon"",""Heart Diseases"",""Humans"",""Outcome Assessment (Health Care)"",""Male"",""Young Adult"",""Echocardiography"",""Hydroxyurea"",""beta-Thalassemia"",""Child""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
385,"juha",NA,"li","[]","[""Prevalence"",""Head Injuries, Closed"",""Comorbidity"",""Meningeal Neoplasms"",""Cicatrix"",""Wound Healing"",""Cell Transformation, Neoplastic"",""Causality"",""Meningioma"",""Skull Fractures""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
