"id","first_name","middle_name","lastname","coinvestigator_lastnames","topics","cities","countries","orcid"
416,"c",NA,"smith","[]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
417,"de",NA,"l'arche","[""cerbere"",""propara"",""herbiers""]","[""Diphosphonates"",""Spinal Cord Injuries"",""Osteoporosis"",""Wounds and Injuries"",""Bone Demineralization, Pathologic""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
418,"m",NA,"laban","[]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
419,"terveystalo",NA,"lahti","[""marski"",""kamppi"",""jyvaskyla"",""kroger"",""kouvola""]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
420,"j",NA,"lane","[""kuba""]","[""Polymethyl Methacrylate"",""Fractures, Compression"",""Spinal Fractures"",""Fractures, Bone""]","[{""identifier"":5128581,""name"":""New York City""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
421,"n",NA,"lane","[]","[""Hormones"",""Etidronic Acid"",""Osteoporosis"",""Risedronate Sodium""]","[{""identifier"":5341704,""name"":""Davis""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
422,"bente","lomholdt","langdahl","[""solling""]","[""Liraglutide"",""Diabetes Complications"",""Osteoporosis"",""Alendronate""]","[{""identifier"":2624886,""name"":""Aalborg""},{""identifier"":4684888,""name"":""Dallas""},{""identifier"":5187508,""name"":""Duncansville""},{""identifier"":2792413,""name"":""Liège""},{""identifier"":2624341,""name"":""Ballerup""},{""identifier"":5454711,""name"":""Albuquerque""},{""identifier"":4348599,""name"":""Bethesda""},{""identifier"":2996944,""name"":""Lyon""},{""identifier"":3094802,""name"":""Kraków""},{""identifier"":4990729,""name"":""Detroit""},{""identifier"":5427946,""name"":""Lakewood""},{""identifier"":2624652,""name"":""Århus""},{""identifier"":2666199,""name"":""Uppsala""},{""identifier"":6173331,""name"":""Vancouver""}]","[{""identifier"":2623032,""name"":""Denmark""},{""identifier"":6252001,""name"":""United States""},{""identifier"":2802361,""name"":""Belgium""},{""identifier"":3017382,""name"":""France""},{""identifier"":798544,""name"":""Poland""},{""identifier"":2661886,""name"":""Sweden""},{""identifier"":6251999,""name"":""Canada""}]",191682
423,"joan","m","walker","[]","[""Hyperparathyroidism"",""Calcium, Dietary"",""Osteoporosis"",""Hyperparathyroidism, Secondary"",""Malnutrition"",""Vitamins"",""Cholecalciferol"",""Vitamin D"",""Ergocalciferols"",""Calcium Carbonate""]","[{""identifier"":1012528,""name"":""Creighton""},{""identifier"":5074472,""name"":""Omaha""},{""identifier"":5128581,""name"":""New York City""}]","[{""identifier"":953987,""name"":""South Africa""},{""identifier"":6252001,""name"":""United States""}]",50397
424,"l",NA,"laslett","[]","[""Osteoporosis""]","[{""identifier"":2078025,""name"":""Adelaide""},{""identifier"":2066041,""name"":""Modbury""},{""identifier"":2163355,""name"":""Hobart""}]","[{""identifier"":2077456,""name"":""Australia""}]",173572
425,"mathilde",NA,"latreille barbier","[]","[""Vitamin D Deficiency"",""Vitamin D""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
426,"heather",NA,"lau","[]","[""Bone Diseases, Metabolic"",""Osteoporosis"",""Gaucher Disease""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
427,"christiane",NA,"laue","[]","[""Osteoporosis"",""Calcium, Dietary""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
428,"e",NA,"lavoue","[""rey""]","[""Infection"",""HIV Infections"",""Osteoporosis"",""Acquired Immunodeficiency Syndrome"",""Bone Diseases, Metabolic""]","[{""identifier"":2973783,""name"":""Strasbourg""}]","[{""identifier"":3017382,""name"":""France""}]",NA
429,"c","a","lawton","[""pratt"",""murphy"",""karmanos"",""kimmel"",""st. louis cape girardeau""]","[""Cholecalciferol"",""Buserelin"",""Calcium Carbonate"",""Triptorelin Pamoate"",""Osteoporosis"",""Prostatic Neoplasms"",""Leuprolide"",""Calcium, Dietary"",""Goserelin""]","[{""identifier"":null,""name"":null}]","[{""identifier"":6252001,""name"":""United States""}]",NA
430,"a","a","lazzari","[""vamc"",""morse""]","[""Osteoporosis"",""Diphosphonates"",""Anticonvulsants"",""Risedronate Sodium"",""Vitamin D"",""Ergocalciferols"",""Calcium, Dietary"",""Vitamins""]","[{""identifier"":4930956,""name"":""Boston""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
431,"benjamin","z","leder","[]","[""Osteoporosis"",""Teriparatide"",""Denosumab"",""Osteoporosis, Postmenopausal"",""Diphosphonates"",""Alendronate"",""Bone Resorption"",""Methyltestosterone"",""Hypogonadism"",""Bone Diseases, Metabolic"",""Testosterone""]","[{""identifier"":4930956,""name"":""Boston""},{""identifier"":4954380,""name"":""Waltham""}]","[{""identifier"":6252001,""name"":""United States""},{""identifier"":1269750,""name"":""India""}]",NA
432,"h",NA,"weaver","[]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
433,"t",NA,"legg","[]","[""Calcitonin Gene-Related Peptide"",""Calcitonin"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
434,"i",NA,"legroux","[]","[""Anorexia"",""Osteoporosis"",""Anorexia Nervosa""]","[{""identifier"":2998324,""name"":""Lille""}]","[{""identifier"":3017382,""name"":""France""}]",NA
435,"charles",NA,"lemoyne","[""blair"",""goss""]","[""Alendronate"",""Calcium, Dietary"",""Risedronate Sodium"",""Calcium Carbonate"",""Cholecalciferol"",""Breast Neoplasms"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
436,"c","p","wang","[]","[""Osteoporosis"",""Polymethyl Methacrylate""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
437,"william","d","leslie","[]","[""Osteoporosis""]","[{""identifier"":5946768,""name"":""Edmonton""},{""identifier"":6183235,""name"":""Winnipeg""},{""identifier"":5746545,""name"":""Portland""},{""identifier"":6077243,""name"":""Montréal""},{""identifier"":4781708,""name"":""Richmond""}]","[{""identifier"":6251999,""name"":""Canada""},{""identifier"":6252001,""name"":""United States""}]",NA
438,"ting","fan","leung","[]","[""Osteoporosis"",""Diphosphonates"",""Alendronate""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
439,"s",NA,"levis","[]","[""Bone Diseases, Metabolic"",""Osteoporosis"",""Phytoestrogens""]","[{""identifier"":4164138,""name"":""Miami""}]","[{""identifier"":6252001,""name"":""United States""}]",100021
440,"r","d","lewis","[]","[""Osteoporosis"",""Zinc"",""Zinc Sulfate""]","[{""identifier"":4180386,""name"":""Athens""}]","[{""identifier"":6252001,""name"":""United States""},{""identifier"":614540,""name"":""Georgia""}]",119333
441,"w",NA,"li","[]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":1814991,""name"":""China""}]",NA
442,"edmund",NA,"zhu","[""tam""]","[""Diphosphonates"",""Hydroxycholecalciferols"",""Lupus Erythematosus, Systemic"",""Osteoporosis"",""Calcium, Dietary""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
443,"efrain",NA,"liebner","[]","[]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
444,"michael",NA,"lillestol","[""bolognese"",""garceau"",""faraawi"",""monraz"",""mease"",""rodrigues""]","[""Osteoporosis"",""Hormones"",""Osteoporosis, Postmenopausal"",""Calcium, Dietary""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
445,"s",NA,"lim","[]","[""Chronic Disease"",""Sarcopenia""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
446,"y",NA,"lin","[""wang""]","[""Diphosphonates"",""Breast Neoplasms""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
447,"tsung","ching","lin","[]","[""Osteoporosis"",""Chronic Disease"",""Osteoarthritis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
448,"shou",NA,"lin","[]","[""Osteoporosis, Postmenopausal"",""Estradiol"",""Medroxyprogesterone"",""Osteoporosis"",""Medroxyprogesterone Acetate""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
449,"tsung",NA,"lin","[]","[""Osteoarthritis"",""Chronic Disease"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
450,"j","s","linde","[""vestergaard""]","[""Diabetes Mellitus"",""Bone Diseases, Metabolic"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
451,"robert","s","lindsay","[""miller"",""scumpia"",""harris""]","[""Vitamins"",""Teriparatide"",""Osteoporosis"",""Calcium, Dietary"",""Ergocalciferols"",""Alendronate"",""Cholecalciferol"",""Vitamin D"",""Hormones"",""Osteoporosis, Postmenopausal""]","[{""identifier"":5128581,""name"":""New York City""},{""identifier"":2648579,""name"":""Glasgow""}]","[{""identifier"":6252001,""name"":""United States""},{""identifier"":2635167,""name"":""United Kingdom""}]",798322
452,"agnes",NA,"linglart","[""bicetre""]","[""Syndrome"",""Osteoporosis"",""Rett Syndrome""]","[{""identifier"":2988507,""name"":""Paris""}]","[{""identifier"":3017382,""name"":""France""}]",NA
453,"t",NA,"link","[]","[""Osteoporosis"",""Diabetes Mellitus, Type 2""]","[{""identifier"":5391959,""name"":""San Francisco""},{""identifier"":2867543,""name"":""Münster""},{""identifier"":2867714,""name"":""Munich""}]","[{""identifier"":6252001,""name"":""United States""},{""identifier"":2921044,""name"":""Germany""}]",NA
454,"allan",NA,"linneberg","[]","[""Cardiovascular Diseases"",""Chronic Disease"",""Osteoporosis"",""Diabetes Mellitus"",""Hypersensitivity"",""Asthma"",""Diabetes Mellitus, Type 2""]","[{""identifier"":2618425,""name"":""Copenhagen""},{""identifier"":2621356,""name"":""Glostrup""}]","[{""identifier"":2623032,""name"":""Denmark""}]",1080199
455,"kurt",NA,"lippuner","[""davos""]","[""Osteoporosis, Postmenopausal"",""Osteoporosis"",""Spinal Fractures"",""Fractures, Bone""]","[{""identifier"":2661552,""name"":""Bern""}]","[{""identifier"":2658434,""name"":""Switzerland""}]",35035
456,"maroš",NA,"liptak","[]","[""Arthritis"",""Arthritis, Rheumatoid"",""Osteoporosis"",""Adalimumab""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
457,"hon","man","liu","[]","[""Osteoporosis"",""Fractures, Bone""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
458,"konstantinovic",NA,"smith","[]","[""Osteoporosis""]","[{""identifier"":792680,""name"":""Belgrade""}]","[{""identifier"":6290252,""name"":""Serbia""}]",NA
459,"santiago",NA,"lloret","[]","[""Vitamin D"",""Vitamins"",""Diphosphonates"",""Ergocalciferols"",""Calcium, Dietary"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
460,"timothy","g","lohman","[]","[""Estrogens"",""Osteoporosis"",""Hormones""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
461,"a",NA,"jiang","[]","[""Musculoskeletal Diseases""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
462,"charles","l","krause","[""wichita"",""parsons"",""dorado"",""duluth""]","[""Calcium Carbonate"",""Estrogen Antagonists"",""Risedronate Sodium"",""Prostatic Neoplasms"",""Osteoporosis"",""Estrogens"",""Cholecalciferol"",""Calcium, Dietary"",""Etidronic Acid""]","[{""identifier"":5043473,""name"":""Rochester""}]","[{""identifier"":6252001,""name"":""United States""}]",93746
463,"f",NA,"huang","[]","[""Hypercholesterolemia"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
464,"mattias",NA,"kim","[]","[""Osteoporosis""]","[{""identifier"":2711537,""name"":""Göteborg""},{""identifier"":2691459,""name"":""Mölndal""}]","[{""identifier"":2661886,""name"":""Sweden""}]",1177071
465,"c",NA,"lovelady","[]","[""Osteoporosis"",""Weight Loss""]","[{""identifier"":4469146,""name"":""Greensboro""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
466,"h",NA,"lu","[]","[""Vitamins"",""Vitamin D"",""Ergocalciferols"",""Diphosphonates"",""Neoplasms"",""Calcium, Dietary"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
467,"st.",NA,"luke","[""webb""]","[""Osteoporosis"",""Fractures, Compression"",""Fractures, Bone""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
468,"k",NA,"xu","[]","[""Osteoporosis"",""Fractures, Bone"",""Osteoporotic Fractures"",""Hip Fractures""]","[{""identifier"":4464368,""name"":""Durham""},{""identifier"":4459467,""name"":""Cary""}]","[{""identifier"":6252001,""name"":""United States""}]",48695
469,"de",NA,"wang","[""chapurlat""]","[]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
470,"george","p","lyritis","[""makras""]","[""Teriparatide"",""Osteoporosis, Postmenopausal"",""Osteoporosis""]","[{""identifier"":264371,""name"":""Athens""}]","[{""identifier"":390903,""name"":""Greece""}]",688560
471,"jingfei",NA,"niederle","[]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
472,"chao",NA,"walker","[]","[""Ergocalciferols"",""Alendronate"",""Calcium Carbonate"",""Osteoporosis"",""Vitamins"",""Thyroid Diseases"",""Cholecalciferol"",""Thyroid Neoplasms"",""Vitamin D""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
473,"sint",NA,"maartenskliniek","[""smulders""]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
474,"brian",NA,"macdonald","[]","[""Osteoporosis"",""Teriparatide"",""Bone Diseases, Metabolic""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
475,"norma","j","macintyre","[]","[""Vitamins"",""Vitamin D"",""Osteoporosis"",""Ergocalciferols""]","[{""identifier"":5969782,""name"":""Hamilton""},{""identifier"":4560349,""name"":""Philadelphia""}]","[{""identifier"":6251999,""name"":""Canada""},{""identifier"":6252001,""name"":""United States""}]",NA
476,"eduardo",NA,"magalhaes","[""coimbra""]","[""Osteoporosis""]","[{""identifier"":3467865,""name"":""Campinas""}]","[{""identifier"":3469034,""name"":""Brazil""}]",NA
477,"michael",NA,"mahmoudi","[]","[""Arteriosclerosis"",""Coronary Artery Disease"",""Myocardial Ischemia"",""Bone Diseases, Metabolic"",""Coronary Disease"",""Calcinosis"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
478,"francois",NA,"maillot","[]","[""Phenylketonurias""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
479,"sumit","r","majumdar","[]","[""Osteoporosis"",""Fractures, Bone"",""Hip Fractures"",""Fractures, Multiple""]","[{""identifier"":5946768,""name"":""Edmonton""},{""identifier"":6183235,""name"":""Winnipeg""},{""identifier"":5746545,""name"":""Portland""}]","[{""identifier"":6251999,""name"":""Canada""},{""identifier"":6252001,""name"":""United States""}]",1041058
480,"sharmila",NA,"majumdar","[]","[""Osteoporosis""]","[{""identifier"":5391959,""name"":""San Francisco""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
481,"polyzois",NA,"makras","[""lyritis""]","[""Teriparatide"",""Osteoporosis, Postmenopausal"",""Osteoporosis""]","[{""identifier"":2751773,""name"":""Leiden""},{""identifier"":264371,""name"":""Athens""}]","[{""identifier"":2750405,""name"":""Netherlands""},{""identifier"":390903,""name"":""Greece""}]",NA
482,"willem","p","chan","[""klazen""]","[""Back Pain"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
483,"p","w","mallon","[]","[""Osteoporosis"",""Bone Diseases"",""Alendronate"",""Calcium Carbonate"",""Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination"",""Tenofovir"",""Vitamin D"",""Ergocalciferols"",""Bone Demineralization, Pathologic"",""Calcium, Dietary"",""Vitamins"",""Cholecalciferol""]","[{""identifier"":2964574,""name"":""Dublin""}]","[{""identifier"":2963597,""name"":""Ireland""}]",698786
484,"sandrine",NA,"malochet","[]","[""Parkinson Disease""]","[{""identifier"":3024635,""name"":""Clermont-Ferrand""}]","[{""identifier"":3017382,""name"":""France""}]",NA
485,"pasquale",NA,"mansueto","[""carroccio""]","[""Hypersensitivity"",""Osteoporosis""]","[{""identifier"":2523920,""name"":""Palermo""}]","[{""identifier"":3175395,""name"":""Italy""}]",215452
486,"cherry","c","maramag","[]","[""Calcium, Dietary"",""Calcium Carbonate"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
487,"stephen","w","marcella","[]","[""Prostatic Neoplasms"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
488,"stephen",NA,"jiang","[]","[""Alendronate"",""Risedronate Sodium"",""Etidronic Acid"",""Osteoporosis"",""Osteoporosis, Postmenopausal""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
489,"t",NA,"krause","[""kamppi"",""jyvaskyla"",""kroger"",""kouvola"",""lahti""]","[""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
490,"b",NA,"martin","[""weaver""]","[""Osteoporosis"",""Calcium, Dietary"",""Osteoporosis, Postmenopausal"",""Bone Resorption"",""Bone Diseases, Metabolic"",""Genistein"",""Risedronate Sodium"",""Etidronic Acid""]","[{""identifier"":5128581,""name"":""New York City""},{""identifier"":2643123,""name"":""Manchester""},{""identifier"":4180386,""name"":""Athens""},{""identifier"":4928096,""name"":""West Lafayette""},{""identifier"":2659994,""name"":""Lausanne""}]","[{""identifier"":6252001,""name"":""United States""},{""identifier"":2635167,""name"":""United Kingdom""},{""identifier"":2658434,""name"":""Switzerland""}]",NA
491,"jarad","m","kono","[]","[""Prostatic Neoplasms""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
492,"melissa",NA,"martinek","[]","[""Osteoporosis"",""Fractures, Bone""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
493,"t",NA,"masud","[]","[""Osteoporosis"",""Teriparatide""]","[{""identifier"":2641170,""name"":""Nottingham""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",NA
494,"velimir",NA,"zhu","[]","[""Calcium, Dietary"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":6252001,""name"":""United States""}]",NA
495,"t",NA,"matsumoto","[]","[""Osteoporosis"",""Hydroxycholecalciferols""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
496,"t",NA,"wang","[]","[""Vitamin D"",""Osteoporosis"",""Glucocorticoids"",""Hydroxycholecalciferols""]","[{""identifier"":1850158,""name"":""Tokushima""}]","[{""identifier"":1861060,""name"":""Japan""}]",NA
497,"v",NA,"shen","[]","[""Osteoporosis"",""Etidronic Acid"",""Osteoporosis, Postmenopausal"",""Risedronate Sodium""]","[{""identifier"":658225,""name"":""Helsinki""}]","[{""identifier"":660013,""name"":""Finland""}]",NA
498,"l",NA,"matzen","[]","[""Osteoporosis"",""Teriparatide""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",1015853
499,"ellen",NA,"li","[]","[""Risedronate Sodium"",""Osteoporosis"",""Etidronic Acid"",""Osteoporosis, Postmenopausal""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",752062
500,"c",NA,"maziere","[]","[""Lupus Erythematosus, Systemic"",""Calcinosis"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
501,"e",NA,"mazzucchi","[]","[""Osteoporosis"",""Urolithiasis"",""Metabolic Diseases""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
502,"e",NA,"mc","[""burger"",""de groot""]","[""Osteoporosis"",""Progesterone"",""Medroxyprogesterone"",""Estradiol"",""Medroxyprogesterone Acetate"",""Vitamin D"",""Cholecalciferol"",""Vitamin B 12"",""Vitamins"",""Vitamin B Complex"",""Folic Acid"",""Hydroxocobalamin"",""Ergocalciferols""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
503,"todd","a","mccall","[""reed""]","[""Rickets"",""Osteoporosis"",""Spinal Diseases"",""Avitaminosis"",""Vitamin D Deficiency"",""Bone Diseases, Metabolic""]","[{""identifier"":4156404,""name"":""Gainesville""},{""identifier"":5780993,""name"":""Salt Lake City""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
504,"g","w","mccaughan","[]","[""Osteoporosis"",""Diphosphonates""]","[{""identifier"":2147714,""name"":""Sydney""}]","[{""identifier"":2077456,""name"":""Australia""}]",NA
505,"e",NA,"li","[""eastell""]","[""Sprains and Strains"",""Osteoporosis"",""Alendronate"",""Risedronate Sodium"",""Diphosphonates"",""Etidronic Acid"",""Osteoporosis, Postmenopausal""]","[{""identifier"":2638077,""name"":""Sheffield""}]","[{""identifier"":2635167,""name"":""United Kingdom""}]",44484
506,"julia","o","mceacherm","[""mceachern""]","[""Heart Failure"",""Osteoporosis"",""Pulmonary Disease, Chronic Obstructive"",""Cardiovascular Diseases"",""Lung Diseases"",""Lung Diseases, Obstructive""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
507,"julia",NA,"stewart","[""mceacherm""]","[""Heart Failure"",""Osteoporosis"",""Pulmonary Disease, Chronic Obstructive"",""Cardiovascular Diseases"",""Lung Diseases"",""Lung Diseases, Obstructive""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
508,"k",NA,"mcleod","[]","[]","[{""identifier"":5109177,""name"":""Binghamton""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
509,"phillip","j","hsu","[""bolognese"",""lillestol"",""garceau"",""faraawi"",""monraz"",""rodrigues""]","[""Osteoporosis"",""Hormones"",""Osteoporosis, Postmenopausal""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
510,"suzanne",NA,"meeves","[]","[""Alendronate"",""Teriparatide"",""Risedronate Sodium"",""Etidronic Acid"",""Osteoporosis"",""Osteoporosis, Postmenopausal""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
511,"samir",NA,"mehta","[]","[""Diphosphonates"",""Alendronate"",""Osteonecrosis"",""Bisphosphonate-Associated Osteonecrosis of the Jaw"",""Femoral Fractures"",""Osteoporosis""]","[{""identifier"":4560349,""name"":""Philadelphia""},{""identifier"":250441,""name"":""Amman""}]","[{""identifier"":6252001,""name"":""United States""},{""identifier"":248816,""name"":""Jordan""}]",500532
512,"edward",NA,"merritt","[]","[""Osteoporosis"",""Osteoporosis, Postmenopausal"",""Bone Diseases, Metabolic""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
513,"c",NA,"liu","[""di ematologia"",""cervello"",""galliera"",""forni""]","[""Osteoporosis"",""beta-Thalassemia"",""Thalassemia""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
514,"kristian",NA,"mikkelsen","[]","[""Inflammation"",""Gentamicins"",""Vancomycin"",""Osteoporosis""]","[{""identifier"":2618425,""name"":""Copenhagen""}]","[{""identifier"":2623032,""name"":""Denmark""}]",NA
515,"ted",NA,"mikuls","[]","[""Arthritis, Rheumatoid"",""Arthritis""]","[{""identifier"":4049979,""name"":""Birmingham""},{""identifier"":5074472,""name"":""Omaha""}]","[{""identifier"":6252001,""name"":""United States""}]",72178
516,"paul",NA,"miller","[""scumpia"",""harris"",""lindsay"",""recker"",""ste marie"",""recknor"",""woodson"",""balske"",""watts"",""greenwald"",""emkey""]","[""Osteoporosis"",""Osteoporosis, Postmenopausal"",""Risedronate Sodium"",""Etidronic Acid""]","[{""identifier"":5427946,""name"":""Lakewood""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
517,"y",NA,"min","[]","[""Osteoporosis"",""Vitamins"",""Vitamin D"",""Ergocalciferols"",""Etidronic Acid"",""Cholecalciferol"",""Risedronate Sodium""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
518,"t",NA,"mitchell","[]","[""Osteoporosis"",""Diphosphonates""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
519,"madhusmita",NA,"misra","[]","[""Progesterone"",""Ethinyl Estradiol"",""Estradiol"",""Estrogens"",""Desogestrel"",""Amenorrhea""]","[{""identifier"":4895282,""name"":""Harvard""},{""identifier"":4930956,""name"":""Boston""}]","[{""identifier"":6252001,""name"":""United States""}]",128422
520,"braxton","d","wu","[]","[""Cardiovascular Diseases"",""Atherosclerosis"",""Osteoporosis"",""Heart Diseases""]","[{""identifier"":4347778,""name"":""Baltimore""}]","[{""identifier"":6252001,""name"":""United States""}]",168996
521,"deborah","m","ofotokun","[]","[""Diabetes Mellitus, Type 1"",""Osteoporosis"",""Diabetes Mellitus""]","[{""identifier"":4930956,""name"":""Boston""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
522,"e",NA,"mitsopoulos","[]","[""Diphosphonates"",""Teriparatide"",""Osteoporosis""]","[{""identifier"":734077,""name"":""Thessaloníki""}]","[{""identifier"":390903,""name"":""Greece""}]",NA
523,"b",NA,"mittendorfer","[]","[""Sarcopenia"",""Osteoporosis""]","[{""identifier"":4826522,""name"":""Washington""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
524,"c","c","mok","[]","[""Glucocorticoids"",""Denosumab"",""Diphosphonates"",""Osteoporosis"",""Alendronate""]","[{""identifier"":1819729,""name"":""Hong Kong""}]","[{""identifier"":1819730,""name"":""Hong Kong""}]",351777
525,"'",NA,"monraz","[""garceau"",""faraawi"",""lillestol"",""rodrigues"",""bolognese"",""mease""]","[""Osteoporosis"",""Calcium, Dietary"",""Hormones"",""Osteoporosis, Postmenopausal""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",NA
526,"victor",NA,"li","[]","[""Diphosphonates"",""Osteoporosis"",""Osteoporosis, Postmenopausal"",""Bone Diseases, Metabolic"",""Cardiovascular Diseases"",""Hypercholesterolemia""]","[{""identifier"":5043473,""name"":""Rochester""}]","[{""identifier"":6252001,""name"":""United States""}]",NA
527,"s",NA,"hsu","[]","[""Multiple Myeloma"",""Osteoporosis""]","[{""identifier"":null,""name"":null}]","[{""identifier"":null,""name"":null}]",76921
